chapter,model,method,status,total,mcq_count,mcq_correct,mcq_accuracy,open_count,open_llm_score_mean,open_embedding_mean,answer_confidence_mean,insufficient_information_rate,evidence_supported_rate
2,llama 1b,llm_prompt_low,ok,24,12,4,0.3333333333333333,12,0.375,,,,
2,llama 1b,llm_prompt_medium,ok,24,12,4,0.3333333333333333,12,0.3333333333333333,,,,
2,llama 1b,mBART-50,ok,24,12,4,0.3333333333333333,12,0.3333333333333333,,,,
2,llama 1b,nllb-200-1.3B,ok,24,12,7,0.5833333333333334,12,0.2916666666666667,,,,
2,llama 1b,nllb-200-distilled-600M,ok,24,12,5,0.4166666666666667,12,0.3333333333333333,,,,
2,1.5b,google_word_by_word,ok,24,12,9,0.75,12,0.25,,,,
2,1.5b,helsinki,ok,24,12,10,0.8333333333333334,12,0.625,,,,
2,1.5b,llm_prompt_high,ok,24,12,10,0.8333333333333334,12,0.4166666666666667,,,,
2,1.5b,llm_prompt_low,ok,24,12,10,0.8333333333333334,12,0.625,,,,
2,1.5b,llm_prompt_medium,ok,24,12,10,0.8333333333333334,12,0.625,,,,
2,1.5b,mBART-50,ok,24,12,7,0.5833333333333334,12,0.7083333333333334,,,,
2,1.5b,nllb-200-1.3B,ok,24,12,9,0.75,12,0.5833333333333334,,,,
2,1.5b,nllb-200-distilled-600M,ok,24,12,8,0.6666666666666666,12,0.75,,,,
2,1.7b,google_word_by_word,ok,24,12,10,0.8333333333333334,12,0.4583333333333333,,,,
2,1.7b,helsinki,ok,24,12,10,0.8333333333333334,12,0.5,,,,
2,1.7b,llm_prompt_high,ok,24,12,11,0.9166666666666666,12,0.5833333333333334,,,,
2,1.7b,llm_prompt_low,ok,24,12,9,0.75,12,0.625,,,,
2,1.7b,llm_prompt_medium,ok,24,12,10,0.8333333333333334,12,0.5416666666666666,,,,
2,1.7b,mBART-50,ok,24,12,11,0.9166666666666666,12,0.4166666666666667,,,,
2,1.7b,nllb-200-1.3B,ok,24,12,11,0.9166666666666666,12,0.625,,,,
2,1.7b,nllb-200-distilled-600M,ok,24,12,12,1.0,12,0.5,,,,
3,llama 1b,google_word_by_word,ok,14,7,2,0.2857142857142857,7,0.21428571428571427,,,,
3,llama 1b,helsinki,ok,14,7,2,0.2857142857142857,7,0.14285714285714285,,,,
3,llama 1b,llm_prompt_high,ok,14,7,5,0.7142857142857143,7,0.2857142857142857,,,,
3,llama 1b,llm_prompt_low,ok,14,7,4,0.5714285714285714,7,0.14285714285714285,,,,
3,llama 1b,llm_prompt_medium,ok,14,7,3,0.42857142857142855,7,0.42857142857142855,,,,
3,llama 1b,mBART-50,ok,14,7,2,0.2857142857142857,7,0.5714285714285714,,,,
3,llama 1b,nllb-200-1.3B,ok,14,7,4,0.5714285714285714,7,0.7142857142857143,,,,
3,llama 1b,nllb-200-distilled-600M,ok,14,7,3,0.42857142857142855,7,0.14285714285714285,,,,
3,1.5b,google_word_by_word,ok,14,7,7,1.0,7,0.42857142857142855,,,,
3,1.5b,helsinki,ok,14,7,6,0.8571428571428571,7,0.6428571428571429,,,,
3,1.5b,llm_prompt_high,ok,14,7,7,1.0,7,0.7857142857142857,,,,
3,1.5b,llm_prompt_low,ok,14,7,7,1.0,7,0.9285714285714286,,,,
3,1.5b,llm_prompt_medium,ok,14,7,7,1.0,7,0.7857142857142857,,,,
3,1.5b,mBART-50,ok,14,7,7,1.0,7,0.5,,,,
3,1.5b,nllb-200-1.3B,ok,14,7,7,1.0,7,0.8571428571428571,,,,
